politica,r2_is,rmse_is,r2_oos,rmse_oos,splits_mean,n_zero,exmkt_share
sklearn max_depth=4,0.6503327777782112,4.167946516667519,0.4103051797476168,5.091552042451414,8.743333333333334,5,0.7435327104604086
sklearn best-first,0.7191907684058028,3.7350839392775748,0.3964838483237324,5.150874629059467,15.0,1,0.670943581335815
numpy budget 15 (MATLAB),0.7065488742908258,3.818234220330205,0.40700826985337935,5.1057653189135985,15.0,1,0.6868825406146942
tesi (MATLAB),0.7065,3.8182,0.406,5.108,,1,0.69
