level,draw,seed,spread,signs,order,s_NetZero,s_Delayed,s_Below2C,s_NDCs,s_Fragmented
1e-16,0,500000,1.463892919504826,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.6154220180008463,0.442146746943139,-0.7154316858121406,-0.6178838213498574,-0.8484709015039797
1e-16,1,500001,1.4595886180998117,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,0.3386329377668156,0.1369426773392454,-0.9808096140666498,-1.0323095550723056,-1.120955680332996
1e-16,2,500002,1.1944408788339205,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.160545621605006,0.0187221411254498,-0.9399155682070792,-0.849166057076296,-1.0338952572289144
1e-16,3,500003,2.2962498788734944,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,1.8191102173147804,1.4875047672132549,-0.2467219132066942,-0.1941774773164044,-0.4771396615587142
1e-16,4,500004,1.3238314305672074,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.6322055799509756,0.4690307875792503,-0.5954830840385092,-0.4978684337049954,-0.6916258506162318
1e-16,5,500005,1.4585267598841938,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,0.4346906911658483,0.2397060192943358,-0.8607939690757265,-0.9424024213426848,-1.0238360687183454
1e-16,6,500006,1.9787215004324223,++++-,NetZero>Delayed>NDCs>Below2C>Fragmented,1.806591143042944,1.5181202016964448,0.0101495524762587,0.0722760338826327,-0.1721303573894785
1e-16,7,500007,1.4466683462976435,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.9990726633099812,0.8139043272945168,-0.3326426206325479,-0.2271632156905143,-0.4475956829876626
1e-16,8,500008,1.1511934633796783,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,1.006994828333979,0.8136541700328319,-0.0268901696345826,-0.106894743065069,-0.1441986350456994
1e-16,9,500009,1.7904600082966364,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.9606333564454071,0.6865714755647241,-0.6863914067999439,-0.6432211364885765,-0.8298266518512292
1e-16,10,500010,1.411426500800723,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,0.8716229002889351,0.6654713277951569,-0.4191950280719627,-0.4711771095564376,-0.5398036005117879
1e-16,11,500011,1.1660094796562177,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.4258282321420616,0.3432106003828945,-0.664107476795111,-0.3382336151521188,-0.740181247514156
1e-16,12,500012,1.3894989679279586,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.3912890619623621,0.2665359134012726,-0.8927784227359483,-0.5983263079519068,-0.9982099059655964
1e-16,13,500013,1.8901553818143,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,1.8952574800972848,1.576303823660036,0.2195730288054482,0.092660138613692,0.0051020982829843
1e-16,14,500014,1.460171992647557,++++-,NetZero>Delayed>NDCs>Below2C>Fragmented,1.4156266189788345,1.2240207532513452,0.0910801910524079,0.2010410343290964,-0.0445453736687224
1e-16,15,500015,1.2822564110620076,++++-,NetZero>Delayed>NDCs>Below2C>Fragmented,1.2769055224081531,1.083928989921712,0.101620913116522,0.2053003866480276,-0.0053508886538544
1e-16,16,500016,1.636516678940266,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,0.8260469308421192,0.5925165809287458,-0.6410655810031414,-0.7325252802374482,-0.8104697480981469
1e-16,17,500017,1.4862193387042977,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,1.7871863363772755,1.532934239960398,0.445499183818463,0.3654881770116831,0.3009669976729778
1e-16,18,500018,1.8775880688076143,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,2.449503629425767,2.0920851212006912,0.7883763969986699,0.5904808000346797,0.5719155606181525
1e-16,19,500019,1.482860559583295,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.8200142401130699,0.6796270469789216,-0.5480896429191926,-0.2569865602880772,-0.6628463194702254
1e-16,20,500020,1.6071782241278258,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,1.4074924669111888,1.1494236808535,-0.020675133355116,-0.1146778367819876,-0.199685757216637
1e-16,21,500021,1.5955932601066374,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,1.1700136859451729,0.9018863820738864,-0.2426929268050308,-0.3518707803024528,-0.4255795741614645
1e-16,22,500022,1.142625394121179,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,1.507137007719992,1.2873278751491926,0.4919366125648134,0.4204849184248873,0.3645116135988129
1e-16,23,500023,1.5641905786298191,+++++,NetZero>Delayed>NDCs>Below2C>Fragmented,2.039757552417103,1.7960214618026074,0.6183012030373893,0.7211521037755317,0.4755669737872838
1e-16,24,500024,1.8868078247636613,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.7746864985844923,0.5493460145332763,-0.9266231582158642,-0.8343120056116167,-1.1121213261791691
1e-16,25,500025,1.4892246250154393,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.8767182096239197,0.676095821519584,-0.5218702235740427,-0.4049154056442163,-0.6125064153915196
1e-16,26,500026,1.1895114231504218,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.2066215476043198,0.0840382667020369,-0.897395226632526,-0.7772811082936886,-0.982889875546102
1e-16,27,500027,1.6073730537949371,++---,NetZero>Delayed>Below2C>NDCs>Fragmented,1.3066709412982276,1.0325542814012778,-0.1860711383447948,-0.2621211225372817,-0.3007021124967095
1e-16,28,500028,1.533205137795246,+++++,NetZero>Delayed>Below2C>NDCs>Fragmented,1.573064037941983,1.2941950868791574,0.1853954852937365,0.0846273517115667,0.0398589001467368
1e-16,29,500029,1.4178143589283985,-----,NetZero>Delayed>NDCs>Below2C>Fragmented,-0.2337403096134165,-0.3457946062270927,-1.5797242788863846,-1.314927664692946,-1.651554668541815
1e-16,30,500030,1.290261975240642,++-+-,NetZero>Delayed>NDCs>Below2C>Fragmented,1.1238060357073096,0.9929145662632952,-0.0954873504242961,0.2124320178964156,-0.1664559395333325
1e-16,31,500031,1.3367366669964356,++---,NetZero>Delayed>NDCs>Below2C>Fragmented,0.367063301863217,0.2023919529490454,-0.863951428542058,-0.7804310622298867,-0.9696733651332186
1e-16,32,500032,1.6060128912319696,++-+-,NetZero>Delayed>NDCs>Below2C>Fragmented,1.375402619180439,1.2041805726106505,-0.1128742749850708,0.2031026085469629,-0.2306102720515306
1e-16,33,500033,1.829707354379892,+++++,NetZero>Delayed>Below2C>Fragmented>NDCs,2.180525465174073,1.822486566305821,0.8247048137636237,0.3508181107941808,0.6228099806838294
