Scenario,Component,Sector,Date,LogRatioReplication,LogRatioThesis
Fragmented World,combined,UTIL,2050-12-31,0.0,0.0
Fragmented World,physical,CDSC,2050-12-31,0.0,0.688170703849166
Fragmented World,physical,COMM,2050-12-31,-1.9149893711978265,-6.30375782161245
Fragmented World,physical,CSTP,2050-12-31,0.0,-0.711682690042853
Fragmented World,physical,ENRG,2050-12-31,0.0,-0.998662627253473
Fragmented World,physical,FIN,2050-12-31,0.0,0.0
Fragmented World,physical,HLTC,2050-12-31,0.0,-0.510484517443683
Fragmented World,physical,IND,2050-12-31,0.0,-0.345094038300355
Fragmented World,physical,INFT,2050-12-31,-1.0430754246599774,-1.836414036307
Fragmented World,physical,MATS,2050-12-31,-1.4905466225192043,-3.36802012795401
Fragmented World,physical,REIT,2050-12-31,-0.00979307555897524,-0.0610685797603478
Fragmented World,physical,UTIL,2050-12-31,0.0,0.0
Fragmented World,transition,CDSC,2050-12-31,0.0,0.661618901457673
Fragmented World,transition,COMM,2050-12-31,-1.9676718281096655,-6.4924097856299
Fragmented World,transition,CSTP,2050-12-31,0.0,-0.711611575510615
Fragmented World,transition,ENRG,2050-12-31,0.06057269500234197,-0.934512806554046
Fragmented World,transition,FIN,2050-12-31,0.0,0.0
Fragmented World,transition,HLTC,2050-12-31,0.0,-0.510432235558725
Fragmented World,transition,IND,2050-12-31,0.0,-0.331775083008332
Fragmented World,transition,INFT,2050-12-31,-1.0431678894883678,-1.90203275202053
Fragmented World,transition,MATS,2050-12-31,-1.4885518926719294,-2.02553817645125
Fragmented World,transition,REIT,2050-12-31,-0.09182853462514595,-0.0435291873389439
Fragmented World,transition,UTIL,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),combined,CDSC,2050-12-31,0.0,0.68806920788338
Nationally Determined Contributions (NDCs),combined,COMM,2050-12-31,-1.9516365320654625,-6.33427774402084
Nationally Determined Contributions (NDCs),combined,CSTP,2050-12-31,0.0,-0.711577682219622
Nationally Determined Contributions (NDCs),combined,ENRG,2050-12-31,0.05022662808085254,-0.701207732037273
Nationally Determined Contributions (NDCs),combined,FIN,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),combined,HLTC,2050-12-31,0.0,-0.510409079579817
Nationally Determined Contributions (NDCs),combined,IND,2050-12-31,0.0,-0.345043111210367
Nationally Determined Contributions (NDCs),combined,INFT,2050-12-31,-1.0430754246599774,-1.8642424718106
Nationally Determined Contributions (NDCs),combined,MATS,2050-12-31,-1.4905466225192043,-2.62608417370644
Nationally Determined Contributions (NDCs),combined,REIT,2050-12-31,-0.061604944442872345,-0.0444987306520141
Nationally Determined Contributions (NDCs),combined,UTIL,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),physical,CDSC,2050-12-31,0.0,0.688170703849166
Nationally Determined Contributions (NDCs),physical,COMM,2050-12-31,-1.9516365320654634,-6.32988008037214
Nationally Determined Contributions (NDCs),physical,CSTP,2050-12-31,0.0,-0.711682690042853
Nationally Determined Contributions (NDCs),physical,ENRG,2050-12-31,0.0,-0.998662627253473
Nationally Determined Contributions (NDCs),physical,FIN,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),physical,HLTC,2050-12-31,0.0,-0.510484517443683
Nationally Determined Contributions (NDCs),physical,IND,2050-12-31,0.0,-0.345094038300355
Nationally Determined Contributions (NDCs),physical,INFT,2050-12-31,-1.0430754246599774,-1.836414036307
Nationally Determined Contributions (NDCs),physical,MATS,2050-12-31,-1.4905466225192043,-3.36802012795401
Nationally Determined Contributions (NDCs),physical,REIT,2050-12-31,-0.00979307555897524,-0.0610685797603478
Nationally Determined Contributions (NDCs),physical,UTIL,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),transition,CDSC,2050-12-31,0.0,0.68806920788338
Nationally Determined Contributions (NDCs),transition,COMM,2050-12-31,-1.9271623842674845,-6.33897633293761
Nationally Determined Contributions (NDCs),transition,CSTP,2050-12-31,0.0,-0.711577682219622
Nationally Determined Contributions (NDCs),transition,ENRG,2050-12-31,0.05022662808085254,-0.701207732037273
Nationally Determined Contributions (NDCs),transition,FIN,2050-12-31,0.0,0.0
Nationally Determined Contributions (NDCs),transition,HLTC,2050-12-31,0.0,-0.510409079579817
Nationally Determined Contributions (NDCs),transition,IND,2050-12-31,0.0,-0.345043111210367
Nationally Determined Contributions (NDCs),transition,INFT,2050-12-31,-1.0430754246599774,-1.8852227247828
Nationally Determined Contributions (NDCs),transition,MATS,2050-12-31,-1.4905466225192043,-2.62257962119964
Nationally Determined Contributions (NDCs),transition,REIT,2050-12-31,-0.061604944442872345,-0.0427671167415023
Nationally Determined Contributions (NDCs),transition,UTIL,2050-12-31,0.0,0.0
Net Zero 2050,combined,CDSC,2050-12-31,0.0,0.689698150755532
Net Zero 2050,combined,COMM,2050-12-31,-1.854073104408644,-6.27113334327107
Net Zero 2050,combined,CSTP,2050-12-31,0.0,-0.760462202671381
Net Zero 2050,combined,ENRG,2050-12-31,0.30488528499001344,0.285374313980024
Net Zero 2050,combined,FIN,2050-12-31,0.0,0.0
Net Zero 2050,combined,HLTC,2050-12-31,0.0,-0.510258521493899
Net Zero 2050,combined,IND,2050-12-31,0.0,-0.344941471395765
Net Zero 2050,combined,INFT,2050-12-31,-1.0264228958852186,-1.90699075938551
