Pair,Feature,Entity,EntityLabel,GridValue,PDP
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-15.077496951657485,-0.8459433384175716
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-7.429558318705487,-0.8459433384175716
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-5.141912627299932,0.439539742700392
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-3.982912517494264,1.0860949024177844
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-3.1761660407849486,1.0860949024177844
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-2.096227804852244,1.0860949024177844
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-1.4980590155185514,1.0860949024177844
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-0.9947755080005335,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,-0.2676362907999064,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,0.25442700839197596,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,0.5566468382142515,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,1.0679984399008302,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,1.3873530772289,1.556614606556114
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,1.941134487076976,2.2527984432013217
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,2.149259101641336,2.2527984432013217
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,2.4527706691329634,2.2527984432013217
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,2.744049966674942,2.2527984432013217
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,3.118426335802107,2.278890515075476
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,3.4084781374356683,2.4016961609021577
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,3.9359534675860814,2.4133969451568973
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,4.443648890521899,2.4232877007004845
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,5.403904423678919,2.9329008738731046
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,6.230750697334628,3.2026767461045513
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,7.925102434159742,3.2026767461045513
ExMkt x CDSC-Brown,ExMkt_L0_x_Entity_2,2,CDSC_B,10.974189071704163,4.59907020563213
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-15.077496951657485,0.08887405865058937
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-7.429558318705487,0.18694981829014165
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-5.141912627299932,1.0965055178063818
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-3.982912517494264,1.0965055178063818
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-3.1761660407849486,1.0965055178063818
ExMkt x REIT-Green,ExMkt_L0_x_Entity_17,17,REIT_G,-2.096227804852244,1.5764935613606872
