model,r2_is,r2_oos,rmse_is,rmse_oos,gap,leaves_mean,leaves_max,splits_mean,depth_max,trees_at_budget,splits_on_target,splits_in_window,energy_spread_excess,energy_spread_with_rf,energy_negative_scenarios
"A  sklearn max_depth=4 (level-wise, depth capped)",0.6503327777782113,0.410342790917977,4.167946516667518,5.091389668390901,0.23998998686023432,9.743333333333334,16,8.743333333333334,4,19,109,0,0.2546338787804121,0.254173825270823,0
B  sklearn max_leaf_nodes=16 (best-first),0.7191907684058028,0.39651758439948626,3.7350839392775743,5.150730662137723,0.3226731840063165,16.0,16,15.0,15,300,156,1,1.2151835295066973,1.2129685358280113,0
C  numpy builder max_splits=15 (MATLAB policy),0.7065488742908258,0.40669536337802215,3.818234220330205,5.1071122317351865,0.29985351091280366,16.0,16,15.0,12,300,130,0,0.8360668321563094,0.8345240495268276,0
