Feature,Importance,SharePct
ExMkt_L0,0.7441791724586029,74.41791724586028
R_WTI_L1_x_Entity_6,0.02034060360001884,2.034060360001884
ExMkt_L1,0.01472554210707659,1.472554210707659
ExMkt_L0_x_Entity_2,0.012567170620634725,1.2567170620634724
ExMkt_L0_x_Entity_17,0.011861743657641944,1.1861743657641943
Tas_ANOM_L0_x_Entity_20,0.011680857163206756,1.1680857163206757
Tas_ANOM_L2_x_Entity_20,0.010875557447186242,1.0875557447186242
R_NatGas_L1_x_Entity_6,0.008720991348547365,0.8720991348547366
ExMkt_L0_x_Entity_7,0.008467897298917088,0.8467897298917088
ExMkt_L0_x_Entity_21,0.007832139410478613,0.7832139410478614
CPI_DIFF_L0,0.006921652473047628,0.6921652473047628
R_WTI_L1_x_Entity_15,0.006835928740962284,0.6835928740962285
R_WTI_L0,0.006197410243851292,0.6197410243851292
ExMkt_L0_x_Entity_3,0.005778086583188093,0.5778086583188093
CPI_DIFF_L1_x_Entity_20,0.005538020849898368,0.5538020849898369
Precip_ANOM_L2,0.004911409733838473,0.49114097338384727
ExMkt_L1_x_Entity_7,0.004908635606810379,0.49086356068103787
R_NatGas_L1,0.004689115204706836,0.46891152047068363
ExMkt_L0_x_Entity_14,0.004511978754197438,0.45119787541974377
UNRATE_DIFF_L1_x_Entity_17,0.004493428213040257,0.4493428213040257
ExMkt_L0_x_Entity_22,0.004032689315335609,0.4032689315335609
R_WTI_L1,0.003894236323816093,0.3894236323816093
R_WTI_L1_x_Entity_5,0.003749181734837212,0.3749181734837212
R_WTI_L2_x_Entity_20,0.003730130053900663,0.37301300539006627
Wind_ANOM_L1,0.003467603431674418,0.3467603431674418
ExMkt_L0_x_Entity_20,0.0033734156376559674,0.33734156376559676
Tas_ANOM_L2_x_Entity_16,0.0033107996069056465,0.33107996069056467
CPI_DIFF_L1_x_Entity_17,0.0032589536359784468,0.32589536359784466
R_WTI_L2,0.002839180735626618,0.2839180735626618
ExMkt_L2,0.0028021903440225383,0.2802190344022538
R_WTI_L1_x_Entity_16,0.002788700037985,0.2788700037985
Wind_ANOM_L2_x_Entity_20,0.002749794618432378,0.2749794618432378
CPI_DIFF_L2,0.0027112672797575074,0.2711267279757507
ExMkt_L0_x_Entity_18,0.0026277624670061114,0.2627762467006111
UNRATE_DIFF_L1_x_Entity_18,0.0024707662460534074,0.24707662460534074
CPI_DIFF_L0_x_Entity_15,0.002450860132407338,0.2450860132407338
ExMkt_L1_x_Entity_20,0.00244358075487266,0.24435807548726599
R_WTI_L1_x_Entity_18,0.0023541792122738383,0.23541792122738384
R_NatGas_L0_x_Entity_2,0.002285657260866397,0.2285657260866397
CPI_DIFF_L2_x_Entity_16,0.0022177644507958517,0.22177644507958516
R_WTI_L1_x_Entity_19,0.002216308788327225,0.22163087883272248
R_WTI_L0_x_Entity_16,0.0021102479598038683,0.21102479598038684
ExMkt_L2_x_Entity_17,0.002056258001430595,0.20562580014305948
ExMkt_L0_x_Entity_11,0.0019650326655347976,0.19650326655347977
UNRATE_DIFF_L0,0.0019237858592455498,0.19237858592455498
CPI_DIFF_L2_x_Entity_18,0.0019224457005916247,0.19224457005916246
Wind_ANOM_L0,0.0019124308340355645,0.19124308340355645
ExMkt_L2_x_Entity_7,0.0019056312915851446,0.19056312915851445
Precip_ANOM_L0_x_Entity_20,0.0019040137466967571,0.19040137466967572
ExMkt_L0_x_Entity_6,0.001685432789297045,0.1685432789297045
Wind_ANOM_L0_x_Entity_16,0.00160336218774924,0.16033621877492402
UNRATE_DIFF_L0_x_Entity_17,0.0015375643229000716,0.15375643229000716
ExMkt_L1_x_Entity_15,0.001385991051210776,0.1385991051210776
ExMkt_L0_x_Entity_15,0.001364196509866276,0.1364196509866276
Wind_ANOM_L1_x_Entity_16,0.00132414678846873,0.132414678846873
CPI_DIFF_L0_x_Entity_16,0.0011846165618756084,0.11846165618756084
R_NatGas_L2_x_Entity_20,0.0011732178909927649,0.11732178909927649
UNRATE_DIFF_L2_x_Entity_7,0.0009357572170271437,0.09357572170271437
ExMkt_L1_x_Entity_6,0.0007638952855093925,0.07638952855093925
ExMkt_L0_x_Entity_9,0.0007522500275873172,0.07522500275873172
Tas_ANOM_L0_x_Entity_18,0.0007373101602501754,0.07373101602501754
CPI_DIFF_L2_x_Entity_17,0.0005998070855806835,0.059980708558068356
Tas_ANOM_L0_x_Entity_17,0.00042036264703650155,0.042036264703650156
ExMkt_L0_x_Entity_1,0.0003112935330096294,0.03112935330096294
Precip_ANOM_L0_x_Entity_14,0.00031010044959198967,0.031010044959198967
ExMkt_L0_x_Entity_5,0.00029178831876777695,0.029178831876777694
ExMkt_L0_x_Entity_12,5.394097278398036e-05,0.005394097278398036
ExMkt_L0_x_Entity_13,5.2756557187855236e-05,0.005275655718785524
ExMkt_L0_x_Entity_8,0.0,0.0
ExMkt_L0_x_Entity_16,0.0,0.0
ExMkt_L0_x_Entity_10,0.0,0.0
ExMkt_L0_x_Entity_4,0.0,0.0
ExMkt_L0_x_Entity_19,0.0,0.0
